idx,Time,Phase,Failure,Score,Threshold,Action
422,07:02:00,Startup,Leakage,0.020003912895833885,6.28340110394903e-05,Monitor
422,07:02:00,Startup,Vessel,0.62,0.5,Use Ceramic
423,07:03:00,Startup,Diaphragm,0.020894834112849172,0.011130787349661504,Monitor
898,14:58:00,Normal,Leakage,1.0,6.28340110394903e-05,Add Platinum
1083,18:03:00,Normal,Diaphragm,0.9998934901188423,0.011130787349661504,Add Platinum
1087,18:07:00,Normal,Vessel,0.6342738814651966,0.5,Use Ceramic
1098,18:18:00,Startup,Leakage,0.02000228216696301,6.28340110394903e-05,Monitor
1863,07:02:00,Startup,Leakage,0.02000148414942832,6.28340110394903e-05,Monitor
1863,07:02:00,Startup,Vessel,0.62,0.5,Use Ceramic
1864,07:03:00,Startup,Diaphragm,0.020931512958525928,0.011130787349661504,Monitor
2020,09:39:00,Normal,Vessel,0.6,0.5,Use Ceramic
2524,18:03:00,Normal,Diaphragm,0.9999007873846466,0.011130787349661504,Add Platinum
2528,18:07:00,Normal,Vessel,0.6413523651659488,0.5,Use Ceramic
2539,18:18:00,Startup,Leakage,0.0200007087417496,6.28340110394903e-05,Monitor
3304,07:02:00,Startup,Leakage,0.020002447570650925,6.28340110394903e-05,Monitor
3304,07:02:00,Startup,Vessel,0.62,0.5,Use Ceramic
3305,07:03:00,Startup,Diaphragm,0.020894834112849172,0.011130787349661504,Monitor
3965,18:03:00,Normal,Diaphragm,0.9998799499381941,0.011130787349661504,Add Platinum
3969,18:07:00,Normal,Vessel,0.6401995852589607,0.5,Use Ceramic
3978,18:16:00,Startup,Leakage,0.020001296174713235,6.28340110394903e-05,Monitor
4745,07:02:00,Startup,Leakage,0.020002177853856544,6.28340110394903e-05,Monitor
4745,07:02:00,Startup,Vessel,0.62,0.5,Use Ceramic
4746,07:03:00,Startup,Diaphragm,0.020895886160195495,0.011130787349661504,Monitor
5406,18:03:00,Normal,Diaphragm,0.9999453820185163,0.011130787349661504,Add Platinum
5409,18:06:00,Normal,Vessel,0.6371657535433769,0.5,Use Ceramic
5419,18:16:00,Startup,Leakage,0.020000506479122503,6.28340110394903e-05,Monitor
6186,07:02:00,Startup,Leakage,0.020003206942440198,6.28340110394903e-05,Monitor
6186,07:02:00,Startup,Vessel,0.62,0.5,Use Ceramic
6187,07:03:00,Startup,Diaphragm,0.020894834112849172,0.011130787349661504,Monitor
6847,18:03:00,Normal,Diaphragm,0.9998899115667972,0.011130787349661504,Add Platinum
6850,18:06:00,Normal,Vessel,0.6320719107985496,0.5,Use Ceramic
6861,18:17:00,Startup,Leakage,0.02000158638743687,6.28340110394903e-05,Monitor
7627,07:02:00,Startup,Leakage,0.020003234557478745,6.28340110394903e-05,Monitor
7627,07:02:00,Startup,Vessel,0.62,0.5,Use Ceramic
7628,07:03:00,Startup,Diaphragm,0.020894834112849172,0.011130787349661504,Monitor
8086,14:41:00,Normal,Leakage,0.0036752036985410485,6.28340110394903e-05,Monitor
8289,18:04:00,Normal,Diaphragm,0.9995550325530281,0.011130787349661504,Add Platinum
8289,18:04:00,Normal,Vessel,0.651190972328186,0.5,Add Iron
8301,18:16:00,Startup,Leakage,0.020000477858633844,6.28340110394903e-05,Monitor
9068,07:02:00,Startup,Leakage,0.020002972199512574,6.28340110394903e-05,Monitor
9068,07:02:00,Startup,Vessel,0.62,0.5,Use Ceramic
9069,07:03:00,Startup,Diaphragm,0.020894834112849172,0.011130787349661504,Monitor
9252,10:06:00,Normal,Leakage,0.0009260839043618513,6.28340110394903e-05,Monitor
9374,12:08:00,Normal,Leakage,0.00014893718859843488,6.28340110394903e-05,Monitor
9730,18:04:00,Normal,Diaphragm,0.999698897533558,0.011130787349661504,Add Platinum
9730,18:04:00,Normal,Vessel,0.6423858053982258,0.5,Use Ceramic
9742,18:16:00,Startup,Leakage,0.020000188549219314,6.28340110394903e-05,Monitor
10509,07:02:00,Startup,Leakage,0.02000380463809288,6.28340110394903e-05,Monitor
10509,07:02:00,Startup,Vessel,0.62,0.5,Use Ceramic
10510,07:03:00,Startup,Diaphragm,0.020895886160195495,0.011130787349661504,Monitor
10792,11:45:00,Normal,Vessel,0.6,0.5,Use Ceramic
10898,13:31:00,Normal,Leakage,8.661770352971562e-05,6.28340110394903e-05,Monitor
11171,18:04:00,Normal,Diaphragm,0.9998372867111894,0.011130787349661504,Add Platinum
11174,18:07:00,Normal,Vessel,0.6401310995221138,0.5,Use Ceramic
11184,18:17:00,Startup,Leakage,0.02000071441842419,6.28340110394903e-05,Monitor
